identificador;asignatura;anho;convocatoria;tipoexam;puntaje
7689e8bec7b16cc13bec2112dca7ae55;INGENIERIA DE SOFTWARE III;2014;1;2F   ;97
a787ae6f07f9ea657b57d8412665ec0e;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;55
494fe84dd74741f339097d42e2f93ff9;CALCULO III;2014;1;2F   ;91
a195f74273114a5f0c987cd9ee5fb615;FUNDAMENTOS DE MATEMATICA;2014;1;2F   ;74
050eda7d005f612945ea0dd7b4050ec5;LENGUAJES DE PROGRAMACION I;2014;1;2F   ;75
a195f74273114a5f0c987cd9ee5fb615;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;90
9aca79a7a72538894e951c3a28147a37;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;1F   ;90
a195f74273114a5f0c987cd9ee5fb615;EMPRENDEDORISMO;2014;1;1F   ;98
9aca79a7a72538894e951c3a28147a37;LENGUAJES DE PROGRAMACION I;2014;1;2F   ;69
c1b5390b5a86266bf4ab812b90eae68f;LOGICA PARA CIENCIAS DE LA COMPUTACION;2014;1;2F   ;72
9aca79a7a72538894e951c3a28147a37;CALCULO I;2014;1;2F   ;70
9fb132ec00bff75333bfc06e9343ae43;ADMINISTRACION GUBERNAMENTAL;2014;1;1F   ;90
9aca79a7a72538894e951c3a28147a37;CONTABILIDAD;2014;1;2F   ;96
738f084f88aa3129d9b166835a70d20c;EMPRENDEDORISMO;2014;1;1F   ;79
9aca79a7a72538894e951c3a28147a37;FISICA 1;2014;1;2F   ;80
738f084f88aa3129d9b166835a70d20c;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;70
9aca79a7a72538894e951c3a28147a37;ECONOMIA Y FINANZAS;2014;1;1F   ;90
738f084f88aa3129d9b166835a70d20c;FUNDAMENTOS DE MATEMATICA;2014;1;1F   ;58
418307dc7ff708ab10ce6dd0aa52f8df;EVALUACION DE RENDIMIENTO;2014;1;1F   ;87
738f084f88aa3129d9b166835a70d20c;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;1F   ;88
418307dc7ff708ab10ce6dd0aa52f8df;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;1F   ;100
738f084f88aa3129d9b166835a70d20c;MATEMATICA DISCRETA;2014;1;2F   ;45
418307dc7ff708ab10ce6dd0aa52f8df;GESTION DE CENTRO DE COMPUTOS;2014;1;1F   ;95
af96e2fd16b96749f22a365d7ef9843b;LENGUAJES DE PROGRAMACION I;2014;1;1F   ;67
418307dc7ff708ab10ce6dd0aa52f8df;DIDACTICA UNIVERSITARIA;2014;1;1F   ;85
9fb132ec00bff75333bfc06e9343ae43;FISICA 3;2014;1;2F   ;80
4074ab6b5de1632385b9a9bc475fd918;LENGUAJES DE PROGRAMACION II;2014;1;2F   ;72
738f084f88aa3129d9b166835a70d20c;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;100
4074ab6b5de1632385b9a9bc475fd918;LOGICA PARA CIENCIAS DE LA COMPUTACION;2014;1;1F   ;68
a787ae6f07f9ea657b57d8412665ec0e;FUNDAMENTOS DE MATEMATICA;2014;1;2F   ;24
4074ab6b5de1632385b9a9bc475fd918;ECONOMIA Y FINANZAS;2014;1;1F   ;90
a787ae6f07f9ea657b57d8412665ec0e;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;88
616b93dd5e698baff21d5dd584da0f78;FUNDAMENTOS DE MATEMATICA;2014;1;2F   ;64
a787ae6f07f9ea657b57d8412665ec0e;EMPRENDEDORISMO;2014;1;1F   ;87
616b93dd5e698baff21d5dd584da0f78;MATEMATICA DISCRETA;2014;1;1F   ;58
2a938503aec40432881eb134f1433b21;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;2F   ;92
201f82917ccc4d14f14d5720c4de1c2a;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;68
af96e2fd16b96749f22a365d7ef9843b;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;1F   ;85
201f82917ccc4d14f14d5720c4de1c2a;LENGUAJES DE PROGRAMACION II;2014;1;1F   ;90
30b023a9eeac5a142da81b6c1d8a1d22;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;2F   ;98
201f82917ccc4d14f14d5720c4de1c2a;LOGICA PARA CIENCIAS DE LA COMPUTACION;2014;1;2F   ;85
af96e2fd16b96749f22a365d7ef9843b;ALGEBRA LINEAL;2014;1;2F   ;63
201f82917ccc4d14f14d5720c4de1c2a;FISICA 1;2014;1;1F   ;70
9fb132ec00bff75333bfc06e9343ae43;INGENIERIA DE SOFTWARE II;2014;1;1F   ;85
616b93dd5e698baff21d5dd584da0f78;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;60
e3a47968661ac306d0757551852b4983;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;2F   ;82
616b93dd5e698baff21d5dd584da0f78;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;1F   ;80
6cebd7d4bdcbf86310ad5b703228bb36;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;51
258107184934cc6bee62ee97c5719d87;INVESTIGACION DE OPERACIONES I;2014;1;2F   ;70
9cc1b975a6ac5d013c18ea036872a34e;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;1F   ;70
258107184934cc6bee62ee97c5719d87;REDES DE COMPUTADORAS II;2014;1;1F   ;76
57f9294dd0749bb886b59978e5d820e5;LENGUAJES DE PROGRAMACION III;2014;1;1F   ;60
258107184934cc6bee62ee97c5719d87;SISTEMAS DISTRIBUIDOS;2014;1;2F   ;98
a133391cbe0f5470b390e880b51fd6b0;INVESTIGACION DE OPERACIONES II;2014;1;1F   ;95
258107184934cc6bee62ee97c5719d87;ESTRUCTURA DE LOS LENGUAJES;2014;1;2F   ;93
d99eb8b29f425e8d5974401897e101bc;REDES DE COMPUTADORAS I;2014;1;2F   ;43
258107184934cc6bee62ee97c5719d87;METODOS NUMERICOS;2014;1;1F   ;82
34c109537b2693d3aa96fbdba229a462;INVESTIGACION DE OPERACIONES II;2014;1;1F   ;68
a7fd77f56e0d97980ac38eb3fca834ac;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;1F   ;90
cd6402136f2c4a7de7ac8b52fbea1c32;ECONOMIA Y FINANZAS;2014;1;1F   ;45
616b93dd5e698baff21d5dd584da0f78;ECONOMIA Y FINANZAS;2014;1;1F   ;75
1bf13e36f988ab1aff2957bb08b6b1ff;ADMINISTRACION GUBERNAMENTAL;2014;1;1F   ;80
6a11eb5d1534e36049ac829ac1db2b28;INGENIERIA DE SOFTWARE III;2014;1;2F   ;85
073cb4138465c739422531bfec30607c;CONTABILIDAD;2014;1;1F   ;96
6a11eb5d1534e36049ac829ac1db2b28;DIDACTICA UNIVERSITARIA;2014;1;2F   ;96
ff11d3bea16c5ee6c16bba97ddc1bb8c;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;65
65910bea7c8b8ae085e0be5586847243;INVESTIGACION DE OPERACIONES II;2014;1;1F   ;80
0603b8cfc504928a37fff710b7839bd2;INVESTIGACION DE OPERACIONES II;2014;1;1F   ;60
9a8acfa637443ed0dbc89fccad353629;EMPRENDEDORISMO;2014;1;1F   ;71
df10836da31e6a335e4687b7bfd4d79b;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;82
9a8acfa637443ed0dbc89fccad353629;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;58
dadd2759415caa3c7e282c0d1c27e3c9;INGLES;2014;1;1F   ;91
104e8f223a66e75f0eb60522a6d8bbcf;EMPRENDEDORISMO;2014;1;1F   ;76
5d9c615810d0a0bd98f3289e10fb6eb0;LENGUAJES DE PROGRAMACION I;2014;1;1F   ;71
90ee617a59be1825e56a7b0c0ca614bf;CONTABILIDAD;2014;1;1F   ;71
5d9c615810d0a0bd98f3289e10fb6eb0;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;1F   ;80
90ee617a59be1825e56a7b0c0ca614bf;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;2F   ;93
95a90cf89de6459e0ae448015edbd5f2;CALCULO III;2014;1;1F   ;93
